name,description,price,sku,imageUrls,brand
NXB-63H 2P C4 Int. Aut. Termomagnetico P/Riel 2P 4 A 230Vac 10Ka Curva C,NXB-63H 2P C4 Int. Aut. Termomagnetico P/Riel 2P 4 A 230Vac 10Ka Curva C,22,"Código: 813829
CHINT
Ref./Fab: NXB-63H 2P C4
Cant.Disponible: 41
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 22.00",https://store.grupocoinp.com/web/image/product.product/2536/image_1024/%5BNXB-63H%202P%20C4%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%202P%204%20A%20230Vac%2010Ka%20Curva%20C?unique=074897f,chint-103
NXB-63H 3P C4 Int. Aut. Termomagnetico P/Riel 3P 4 A 230Vac 10Ka Curva C,NXB-63H 3P C4 Int. Aut. Termomagnetico P/Riel 3P 4 A 230Vac 10Ka Curva C,33.11,"Código: 813868
CHINT
Ref./Fab: NXB-63H 3P C4
Cant.Disponible: 27
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 33.11",https://store.grupocoinp.com/web/image/product.product/3411/image_1024/%5BNXB-63H%203P%20C4%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%203P%204%20A%20230Vac%2010Ka%20Curva%20C?unique=534a86f,chint-103
NC1-0910 Contactor Potencia Magnetico 3P 9A Ac3 Bob 220Vac 1Na 5.5Kw 50/60Hz,NC1-0910 Contactor Potencia Magnetico 3P 9A Ac3 Bob 220Vac 1Na 5.5Kw 50/60Hz,31.59,"Código: 221029
CHINT
Ref./Fab: NC1-0910
Cant.Disponible: 518
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 31.59",https://store.grupocoinp.com/web/image/product.product/5296/image_1024/%5BNC1-0910%5D%20Contactor%20Potencia%20Magnetico%203P%20%209A%20Ac3%20Bob%20220Vac%201Na%205.5Kw%2050-60Hz?unique=c723892,chint-103
NC1-4011 Contactor Potencia Magnetico 3P 40A Ac3 Bob 220Vac 1Na + 1Nc 18.5Kw,NC1-4011 Contactor Potencia Magnetico 3P 40A Ac3 Bob 220Vac 1Na + 1Nc 18.5Kw,105.37,"Código: 222268
CHINT
Ref./Fab: NC1-4011
Cant.Disponible: 79
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 105.37",https://store.grupocoinp.com/web/image/product.product/5301/image_1024/%5BNC1-4011%5D%20Contactor%20Potencia%20Magnetico%203P%2040A%20Ac3%20Bob%20220Vac%201Na%20+%201Nc%2018.5Kw?unique=65314ab,chint-103
NC1-8011 Contactor Potencia Magnetico 3P 80A Ac3 Bob 220Vac 1Na + 1Nc 37Kw,NC1-8011 Contactor Potencia Magnetico 3P 80A Ac3 Bob 220Vac 1Na + 1Nc 37Kw,214.43,"Código: 222931
CHINT
Ref./Fab: NC1-8011
Cant.Disponible: 34
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 214.43",https://store.grupocoinp.com/web/image/product.product/5304/image_1024/%5BNC1-8011%5D%20Contactor%20Potencia%20Magnetico%203P%2080A%20Ac3%20Bob%20220Vac%201Na%20+%201Nc%2037Kw?unique=340385d,chint-103
NC2-115 Contactor Potencia Magnetico 3P 115A Ac3 Bob 220Vac 55Kw 50/60Hz,NC2-115 Contactor Potencia Magnetico 3P 115A Ac3 Bob 220Vac 55Kw 50/60Hz,437.89,"Código: 671433
CHINT
Ref./Fab: NC2-115
Cant.Disponible: 12
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 437.89",https://store.grupocoinp.com/web/image/product.product/5306/image_1024/%5BNC2-115%5D%20Contactor%20Potencia%20Magnetico%203P%20115A%20Ac3%20Bob%20220Vac%2055Kw%20%2050-60Hz?unique=a4b5ee8,chint-103
NC2-185 Contactor Potencia Magnetico 3P 185A Ac3 Bob 220Vac 90Kw 50/60Hz,NC2-185 Contactor Potencia Magnetico 3P 185A Ac3 Bob 220Vac 90Kw 50/60Hz,529.76,"Código: 671435
CHINT
Ref./Fab: NC2-185
Cant.Disponible: 6
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 529.76",https://store.grupocoinp.com/web/image/product.product/5308/image_1024/%5BNC2-185%5D%20Contactor%20Potencia%20Magnetico%203P%20185A%20Ac3%20Bob%20220Vac%2090Kw%20%2050-60Hz?unique=b9711d6,chint-103
NC2-265 Contactor Potencia Magnetico 3P 265A Ac3 Bob 220Vac 132Kw 50/60Hz,NC2-265 Contactor Potencia Magnetico 3P 265A Ac3 Bob 220Vac 132Kw 50/60Hz,789.9,"Código: 236732
CHINT
Ref./Fab: NC2-265
Cant.Disponible: 3
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 789.90",https://store.grupocoinp.com/web/image/product.product/5310/image_1024/%5BNC2-265%5D%20Contactor%20Potencia%20Magnetico%203P%20265A%20Ac3%20Bob%20220Vac%20132Kw%2050-60Hz?unique=25d4a59,chint-103
NC2-330 Contactor Potencia Magnetico 3P 330A Ac3 Bob 220Vac 160Kw 50/60Hz,NC2-330 Contactor Potencia Magnetico 3P 330A Ac3 Bob 220Vac 160Kw 50/60Hz,1003.35,"Código: 236055
CHINT
Ref./Fab: NC2-330
Cant.Disponible: 5
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 1,003.35",https://store.grupocoinp.com/web/image/product.product/5311/image_1024/%5BNC2-330%5D%20Contactor%20Potencia%20Magnetico%203P%20330A%20Ac3%20Bob%20220Vac%20160Kw%2050-60Hz?unique=32c83ab,chint-103
NM1-63H/3300 16A Int. Aut. Caja Mold. 3P Fijo 16A 35Ka 415Vac Nm1-63H,NM1-63H/3300 16A Int. Aut. Caja Mold. 3P Fijo 16A 35Ka 415Vac Nm1-63H,92.34,"Código: 126693
CHINT
Ref./Fab: NM1-63H/3300 16A
Cant.Disponible: 7
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 92.34",https://store.grupocoinp.com/web/image/product.product/1795/image_1024/%5BNM1-63H-3300%2016A%5D%20Int.%20Aut.%20Caja%20Mold.%203P%20Fijo%2016A%2035Ka%20415Vac%20%20Nm1-63H%20?unique=d261602,chint-103
